OrderID,OrderDate,CustomerID,CustomerName,ProductID,ProductName,Quantity,UnitPrice,OrderStatus
10001,2025-06-02,2172,Adam Johnson,362,Tablet Case,4,359.15,Cancelled
10002,2025-03-07,4467,April Baker,529,Tablet Case,2,413.52,Pending
10003,2023-11-15,2051,Erin Rogers,537,USB Cable,3,207.98,Cancelled
10004,2023-10-04,1755,Ryan Higgins,210,Smart Watch,5,292.63,Shipped
10005,2023-08-22,3979,Robert Martin,485,Notebook,2,14.33,Pending
10006,2025-04-15,2389,Julia Hinton,330,Travel Mug,8,61.4,Cancelled
10007,2024-10-16,3749,Elizabeth Bonilla,588,Notebook,2,183.85,Pending
10008,2025-03-09,3818,Cynthia Brown,435,Notebook,10,29.75,Shipped
10009,2025-01-23,2367,Melinda Martinez,169,Coffee Maker,9,377.84,Cancelled
10010,2025-02-05,2189,Gerald Williams,131,Monitor,2,153.67,Cancelled
10011,2025-06-16,3121,Nicholas Riley,280,Pen Set,9,448.65,Shipped
10012,2024-10-17,4621,Jose Lin,147,Desk Organizer,2,329.9,Shipped
10013,2025-05-31,3811,Ronald White,560,Keyboard,2,84.34,Cancelled
10014,2025-01-26,4393,Dylan Carpenter,392,Smart Watch,1,110.09,Shipped
10015,2025-06-12,1206,Brittany Norman,189,Monitor,4,400.96,Shipped
10016,2024-12-31,3670,Julie Gomez,182,Fitness Band,7,256.11,Cancelled
10017,2024-06-20,2771,Thomas Smith,416,Laptop Stand,3,399.2,Shipped
10018,2025-06-15,3295,Susan Randolph,326,USB Cable,4,161.17,Shipped
10019,2024-04-13,1417,Elizabeth Brown,202,Backpack,9,239.87,Shipped
10020,2025-04-16,1993,Ashley Hughes,168,Laptop Stand,6,315.17,Pending
10021,2024-11-24,4746,Cynthia Gray,310,Water Bottle,2,252.64,Pending
10022,2024-08-04,3596,Aaron Campbell,351,Pen Set,9,402.35,Pending
10023,2024-08-28,2628,Wayne Brown,253,Travel Mug,9,309.23,Cancelled
10024,2025-05-17,1106,Shannon White,148,Headphones,5,172.63,Pending
10025,2025-06-25,4234,Jason Lam,480,Smart Watch,1,135.95,Shipped
10026,2024-01-27,2201,Robert Brown,387,Yoga Mat,4,114.24,Shipped
10027,2024-08-26,4913,David Pierce,357,Laptop Stand,1,412.95,Pending
10028,2024-02-04,2934,Julia Thomas,284,Charger,10,370.22,Cancelled
10029,2025-03-19,1245,Stephanie Horton,399,Laptop Stand,9,214.15,Cancelled
10030,2023-08-12,4811,Eduardo Patterson,142,Travel Mug,2,78.55,Pending
10031,2024-06-20,2695,Diana Bass,234,Bluetooth Speaker,4,381.27,Cancelled
10032,2024-12-30,4179,Michelle Reid,379,Headphones,5,399.28,Cancelled
10033,2024-01-23,3577,Jesse Simon,600,Pen Set,2,178.99,Cancelled
10034,2024-05-15,2138,Teresa Baker,221,Smart Watch,6,232.21,Shipped
10035,2023-12-20,1184,Peter Miller,112,Desk Lamp,3,327.46,Pending
10036,2024-02-12,2632,Mindy Holmes,429,Headphones,7,262.19,Pending
10037,2024-11-23,3793,Kevin Ali,131,Mouse,9,305.15,Shipped
10038,2024-04-22,4047,Kelly Waller,590,Desk Organizer,10,152.5,Cancelled
10039,2025-05-24,4226,Richard Powell,217,Keyboard,5,190.54,Pending
10040,2023-07-27,2069,Dawn Stone,575,Tablet Case,9,274.41,Pending
10041,2025-02-18,4083,Michael Greene,245,Backpack,6,490.03,Pending
10042,2024-03-15,1263,Sandra Johnson,378,Laptop Stand,10,32.21,Shipped
10043,2024-11-15,1976,Kristina Williams,112,Fitness Band,10,221.03,Pending
10044,2025-02-28,2843,Sean Williams,510,Charger,10,487.95,Pending
10045,2025-02-08,3743,Diamond Barrett,587,Desk Organizer,4,368.5,Pending
10046,2024-12-15,4856,Jennifer Marshall,162,Tablet Case,8,181.67,Shipped
10047,2025-01-07,3869,Hector Reyes,477,Fitness Band,2,215.28,Shipped
10048,2025-01-16,2139,Martin Harris,442,Coffee Maker,7,154.03,Pending
10049,2025-03-07,3900,Michael Edwards,101,Fitness Band,1,480.22,Shipped
10050,2024-02-10,4786,Lori Fisher,181,Bluetooth Speaker,1,445.28,Shipped
10051,2024-07-01,3404,Ryan Griffin Jr.,144,Yoga Mat,3,307.98,Pending
10052,2024-07-31,4332,James Clark,537,Monitor,10,109.59,Cancelled
10053,2024-03-20,4909,Wendy Mendoza,262,Smart Watch,9,209.33,Cancelled
10054,2024-12-29,4028,Lance Figueroa,528,Coffee Maker,1,43.64,Cancelled
10055,2024-06-05,3495,Joshua Stephens,203,Headphones,6,333.08,Shipped
10056,2025-02-02,1234,April Roberts,213,Bluetooth Speaker,9,457.97,Shipped
10057,2023-08-21,1053,Hannah Barnett,454,Monitor,1,460.43,Shipped
10058,2023-09-02,4481,Susan Sawyer,355,Monitor,2,227.73,Pending
10059,2023-08-25,3085,Robin Ryan,420,Desk Lamp,6,187.92,Cancelled
10060,2024-10-14,1781,Kristine Moses,235,Notebook,9,324.63,Cancelled
10061,2024-04-07,3577,Candice Joseph,445,Coffee Maker,6,340.19,Shipped
10062,2024-12-24,2163,Kristina Freeman,391,Monitor,8,195.67,Pending
10063,2025-03-07,4295,Mrs. Janet White MD,445,Laptop Stand,3,11.03,Shipped
10064,2024-01-16,2520,Yesenia Jackson,236,Mouse,10,63.98,Shipped
